date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ,n_nodata
2026-09-08,9,10068,1,24,608_1,1,1,1,1,0
2026-09-08,9,10068,1,26,606_1,1,1,1,1,0
2026-09-08,9,10068,1,28,250_1,1,1,1,1,0
2026-09-08,9,10068,1,30,152_2,1,1,1,1,0
2026-09-08,9,10068,1,39,6059_1,1,1,1,1,0
2026-09-08,9,10072,0,6,69_2,3,3,3,1,0
2026-09-08,9,10072,0,7,68_2,1,1,1,1,0
2026-09-08,9,10072,0,23,216_2,1,1,1,1,0
2026-09-08,9,10072,0,25,7217_2,1,1,1,1,0
2026-09-08,9,10072,0,26,422_1,1,1,1,1,0
2026-09-08,9,10072,0,27,421_1,1,1,1,1,0
2026-09-08,9,10075,1,9,615_1,1,1,1,1,0
2026-09-08,9,10075,1,11,211_1,1,1,1,1,0
2026-09-08,9,10075,1,12,210_1,1,1,1,1,0
2026-09-08,9,10075,1,13,209_1,1,1,1,1,0
2026-09-08,9,10075,1,23,55_1,2,2,2,1,0
2026-09-08,9,10075,1,24,56_1,1,1,1,1,0
2026-09-08,9,10075,1,25,57_1,1,1,1,1,0
2026-09-08,9,10080,1,11,421_3,1,1,0,0,0
